number,bpm_range
1,<80
2,80-100
3,80-100
4,80-100
5,140-160
6,140-160
7,140-160
8,140-160
9,140-160
10,140-160
11,>160
12,>160
13,100-120
14,100-120
15,100-120
16,100-120
17,100-120
18,100-120
19,100-120
20,100-120
21,100-120
22,100-120
23,100-120
24,100-120
25,100-120
26,100-120
27,100-120
28,100-120
29,100-120
30,100-120
31,100-120
32,100-120
33,100-120
34,120-140
35,120-140
36,120-140
37,120-140
38,120-140
39,120-140
40,120-140
41,120-140
42,120-140
43,120-140
44,120-140
45,120-140
46,120-140
47,120-140
48,120-140
49,120-140
50,120-140
51,120-140
52,120-140
53,120-140
54,120-140
55,120-140
56,120-140
57,120-140
58,120-140
59,120-140
60,120-140
61,120-140
62,120-140
63,120-140
64,120-140
65,120-140
66,120-140
67,120-140
68,120-140
69,120-140
70,120-140
71,120-140
72,120-140
73,120-140
74,120-140
75,120-140
76,120-140
77,120-140
78,120-140
79,120-140
80,120-140
81,120-140
82,120-140
83,120-140
84,120-140
85,120-140
86,120-140
87,120-140
88,120-140
89,120-140
90,120-140
91,120-140
92,120-140
93,120-140
94,120-140
95,120-140
96,120-140
97,120-140
98,120-140
99,120-140
100,120-140